country,infection_per_100000,J01 C antibacterials_for_systemic ,J01 H antibacterials_for_systemic ,J01 CH antibacterials_for_systemic ,J01A C tetracyclines,J01A H tetracyclines,J01A CH tetracyclines,J01B C amphenicols,J01B H amphenicols,J01B CH amphenicols,J01C C b-lactam,J01C H b-lactam,J01C CH b-lactam,J01CA C penicillins_with_extended_spectrum,J01CA H penicillins_with_extended_spectrum,J01CA CH penicillins_with_extended_spectrum,J01CE C blactamase_sensitive_penicillins,J01CE H blactamase_sensitive_penicillins,J01CE CH blactamase_sensitive_penicillins,J01CF C blactamase_resistant_penicillins,J01CF H blactamase_resistant_penicillins,J01CF CH blactamase_resistant_penicillins,J01CG C blactamase_inhibitors,J01CG H blactamase_inhibitors,J01CG CH blactamase_inhibitors,J01CR C combination_penicillins_incl_blactamase_inhibitors,J01CR H combination_penicillins_incl_blactamase_inhibitors,J01CR CH combination_penicillins_incl_blactamase_inhibitors,J01D C other_blactams,J01D H other_blactams,J01D CH other_blactams,J01DB C 1G_cephalosporins,J01DB H 1G_cephalosporins,J01DB CH 1G_cephalosporins,J01DC C 2G_cephalosporins,J01DC H 2G_cephalosporins,J01DC CH 2G_cephalosporins,J01DD C 3G_cephalosporins,J01DD H 3G_cephalosporins,J01DD CH 3G_cephalosporins,J01DE C 4G_cephalosporin,J01DE H 4G_cephalosporin,J01DE CH 4G_cephalosporin,J01DF C monobactams,J01DF H monobactams,J01DF CH monobactams,J01DH C carbapenems,J01DH H carbapenems,J01DH CH carbapenems,J01DI C other_cephalosporins_and_penems,J01DI H other_cephalosporins_and_penems,J01DI CH other_cephalosporins_and_penems,J01E C sulfonamides_and_trimethoprim,J01E H sulfonamides_and_trimethoprim,J01E CH sulfonamides_and_trimethoprim,J01EA C trimethoprim_and_derivatives,J01EA H trimethoprim_and_derivatives,J01EA CH trimethoprim_and_derivatives,J01EB C short_acting_sulfonamides,J01EB H short_acting_sulfonamides,J01EB CH short_acting_sulfonamides,J01EC C intermediate_acting_sulfonamides,J01EC H intermediate_acting_sulfonamides,J01EC CH intermediate_acting_sulfonamides,J01EE C sulfonamides_and_trimethoprim,J01EE H sulfonamides_and_trimethoprim,J01EE CH sulfonamides_and_trimethoprim,J01F C macrolides_lincosamides_streptogramins,J01F H macrolides_lincosamides_streptogramins,J01F CH macrolides_lincosamides_streptogramins,JJ C short_acting_macrolides,JJ H short_acting_macrolides,JJ CH short_acting_macrolides,JJ C intermediate_acting_macrolides,JJ H intermediate_acting_macrolides,JJ CH intermediate_acting_macrolides,JJ C long_acting_macrolides,JJ H long_acting_macrolides,JJ CH long_acting_macrolides,J01FA C macrolides,J01FA H macrolides,J01FA CH macrolides,J01FF C lincosamides,J01FF H lincosamides,J01FF CH lincosamides,J01FG C streptogramins,J01FG H streptogramins,J01FG CH streptogramins,J01G C aminoglycosides,J01G H aminoglycosides,J01G CH aminoglycosides,J01GB C other_aminoglycosides,J01GB H other_aminoglycosides,J01GB CH other_aminoglycosides,J01M C Quinolones,J01M H Quinolones,J01M CH Quinolones,JJ C 1G_quinolones,JJ H 1G_quinolones,JJ CH 1G_quinolones,JJ C 2G_quinolones,JJ H 2G_quinolones,JJ CH 2G_quinolones,JJ C 3G_quinolones,JJ H 3G_quinolones,JJ CH 3G_quinolones,J01MA C fluoroquinolones,J01MA H fluoroquinolones,J01MA CH fluoroquinolones,J01MB C other_quinolones,J01MB H other_quinolones,J01MB CH other_quinolones,J01XA C glycopeptides,J01XA H glycopeptides,J01XA CH glycopeptides,J01XB C polymyxins,J01XB H polymyxins,J01XB CH polymyxins,J01XC C steroid_antibacterials,J01XC H steroid_antibacterials,J01XC CH steroid_antibacterials,J01XD C imadazole,J01XD H imadazole,J01XD CH imadazole,J01XE C nitrofuran,J01XE H nitrofuran,J01XE CH nitrofuran
Austria,16.31,12.1,-,12.1,0.99,-,0.99,0,-,-,4.7,-,4.7,0.73,-,0.73,0.76,-,0.76,0.01,-,0.01,0,-,0,3.22,-,3.22,1.44,-,1.44,0.31,-,0.31,0.9,-,0.9,0.23,-,0.23,0,-,0,0,-,0,0.001,-,0.001,0.00001,-,0.00001,0.19,-,0.19,0.12,-,0.12,0,-,-,0,-,-,0.077,-,0.077,3.06,-,3.06,0.006,-,0.006,1.63,-,1.63,0.74,-,0.74,2.37,-,2.37,0.689,-,0.689,0,-,-,0.016,-,0.016,0.016,-,0.016,1.31,-,1.31,0.067,-,0.067,0.88,-,0.88,0.366,-,0.366,1.31,-,1.31,0,-,0,0.0009,-,0.0009,0.0069,-,0.0069,0.0272,-,0.0272,0,-,0,0.26,-,0.26
Belgium,24.93,22.8,1.64,24.4,2.03,0.017,2.05,0.0269,0.00048,0.0273,10.1,0.76,10.8,5.01,0.075,5.09,0.03,0.017,0.05,0.25,0.09,0.34,0,0,0,4.8,0.576,5.37,1.44,0.386,1.83,0.1,0.135,0.24,1.34,0.083,1.42,0,0.098,0.1,0,0.0121,0.0121,0,0.0045,0.0045,0,0.053,0.053,0,0.00005,0.00005,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0.209,0,0.209,3.63,0.108,3.74,0.048,0.0097,0.057,1.54,0.037,1.58,1.68,0.0209,1.7,3.27,0.068,3.33,0.367,0.04,0.407,0,0,0,0.013,0.027,0.04,0.013,0.027,0.04,2.57,0.209,2.78,0.122,0.0017,0.123,1.49,0.158,1.65,0.959,0.0496,1.01,2.57,0.209,2.78,0,0,0,0.0002,0.0413,0.042,0.0107,0.0028,0.0135,0,0,0,0,0.022,0.022,2.57,0.051,2.62
Bulgaria,8.37,18.8,1.32,20.1,1.7,0.019,1.72,0.0357,0.00069,0.0364,5.5,0.1,5.6,3.17,0.018,3.18,0.14,0,0.14,0,0,0,0,0,0,2.21,0.081,2.3,3.9,0.742,4.64,0.14,0.075,0.22,3.01,0.1,3.11,0.74,0.547,1.29,0.0001,0.006,0.0061,0,0,0,0.001,0.014,0.015,0.00001,0,0.00001,0.79,0.006,0.8,0,0,0,0,0,0,0,0,0,0.794,0.006,0.8,3.87,0.115,3.99,0.059,0.0033,0.063,1.71,0.049,1.76,1.39,0.042,1.43,3.16,0.094,3.25,0.714,0.02,0.734,0,0,0,0.169,0.108,0.277,0.169,0.108,0.277,2.83,0.139,2.97,0.204,0.0012,0.205,2.48,0.137,2.62,0.142,0.0016,0.14,2.83,0.139,2.97,0,0,0,0.0007,0.0153,0.016,0.0001,0.0012,0.0013,0,0,0,0.003,0.078,0.08,0,0,0
Croatia,18.94,18,1.7,19.7,1.14,0.04,1.18,0,0.00001,0.00001,8.1,0.46,8.5,2.31,0.024,2.34,0.46,0.02,0.48,0.01,0.034,0.04,0,0,0,5.31,0.378,5.69,2.74,0.543,3.28,0.66,0.098,0.75,1.85,0.203,2.06,0.23,0.169,0.4,0,0.0133,0.0133,0,0,0,0,0.059,0.059,0,0,0,0.63,0.042,0.67,0,0,0,0,0,0,0,0,0,0.627,0.042,0.67,3.1,0.148,3.25,0.021,0.0012,0.022,0.96,0.021,0.98,1.79,0.069,1.86,2.77,0.091,2.86,0.329,0.057,0.386,0,0,0,0.005,0.096,0.101,0.005,0.093,0.098,1.5,0.209,1.7,0.792,0.0268,0.819,0.65,0.16,0.81,0.055,0.0231,0.08,1.5,0.209,1.7,0,0,0,0,0.038,0.038,0,0.0061,0.0061,0,0,0,0,0.096,0.096,0.83,0.013,0.85
Cyprus,51.83,26.6,-,26.6,3.61,-,3.61,0,-,0,9,-,9,2.35,-,2.35,0.08,-,0.08,0.02,-,0.02,0,-,0,6.51,-,6.51,5.25,-,5.25,0.28,-,0.28,4.03,-,4.03,0.83,-,0.83,0.0005,-,0.0005,0,-,-,0.108,-,0.108,0,-,-,0.22,-,0.22,0,-,0,0,-,-,0.0027,-,0.0027,0.212,-,0.212,3.27,-,3.27,0.104,-,0.104,2.1,-,2.1,0.98,-,0.98,3.18,-,3.18,0.087,-,0.087,0,-,-,0.063,-,0.063,0.062,-,0.062,4.56,-,4.56,0.88,-,0.88,3.49,-,3.49,0.188,-,0.19,4.56,-,4.56,0,-,0,0.0584,-,0.058,0.0077,-,0.0077,0,-,0,0.189,-,0.189,0.41,-,0.41
Czech Rep,16.62,17.4,-,17.4,1.98,-,1.98,0.0001,-,0.0001,6.3,-,6.3,1.18,-,1.18,1.89,-,1.89,0.05,-,0.05,0,-,0,3.14,-,3.14,2.21,-,2.21,0.09,-,0.09,1.99,-,1.99,0.08,-,0.08,0.0022,-,0.0022,0,-,-,0.044,-,0.044,0.00032,-,0.00032,0.88,-,0.88,0.13,-,0.13,0,-,-,0,-,-,0.757,-,0.757,3.98,-,3.98,0.063,-,0.063,2.71,-,2.71,0.9,-,0.9,3.67,-,3.67,0.313,-,0.313,0,-,-,0.069,-,0.069,0.069,-,0.069,0.88,-,0.88,0.138,-,0.138,0.73,-,0.73,0.005,-,0.005,0.88,-,0.88,0,-,0,0.0167,-,0.0167,0.005,-,0.005,0,-,-,0.05,-,0.05,1.04,-,1.04
Denmark,3.18,15.3,2.19,17.5,1.61,0.038,1.64,0,0,0,9.9,1,10.9,3.28,0.309,3.59,4.26,0.198,4.46,1.38,0.199,1.58,0,0,0,0.95,0.299,1.25,0.03,0.29,0.32,0,0.001,0.001,0.02,0.211,0.23,0,0.022,0.03,0,0,0,0.0027,0.0005,0.0032,0,0.056,0.057,0,0.00002,0.00002,0.73,0.422,1.15,0.56,0.0093,0.57,0.176,0.0031,0.179,0,0,0,0,0.41,0.41,1.84,0.104,1.94,0.218,0.007,0.225,1.08,0.064,1.14,0.48,0.0214,0.51,1.78,0.093,1.88,0.054,0.012,0.066,0,0,0,0.008,0.033,0.04,0.008,0.033,0.04,0.49,0.167,0.66,-,-,-,0.46,0.138,0.6,0.032,0.0293,0.06,0.49,0.167,0.66,0,0,0,0.0002,0.0217,0.022,0.0209,0.0035,0.0244,0.0068,0.0033,0.0101,0,0.086,0.087,0.45,0.007,0.46
Estonia,2.74,10.5,1.62,12.1,1.44,0.055,1.5,0,0,0,3.3,0.46,3.7,1.71,0.046,1.75,0.14,0.022,0.16,0,0.121,0.12,0,0,0,1.43,0.275,1.71,1.22,0.565,1.78,0.21,0.076,0.29,0.99,0.371,1.36,0.01,0.065,0.08,0,0.0093,0.0093,0,0,0,0,0.044,0.044,0,0,0,0.43,0.047,0.48,0.03,0.0017,0.03,0,0,0,0,0,0,0.4,0.045,0.446,2.45,0.159,2.6,0.006,-,0.006,1.7,0.116,1.82,0.56,0.0143,0.58,2.27,0.13,2.4,0.177,0.029,0.206,0,0,0,0.006,0.037,0.044,0.006,0.037,0.044,0.92,0.155,1.08,0.225,0.0091,0.234,0.69,0.144,0.84,0.005,0.0014,0.01,0.92,0.155,1.08,0,0,0,0,0.0179,0.018,0.0017,0.0031,0.0048,0,0,0,0.224,0.081,0.304,0.54,0.035,0.57
Finland,4.38,15.8,2.36,18.1,3.94,0.188,4.12,0,0,0,4.9,0.52,5.4,2.69,0.221,2.91,1.23,0.047,1.27,0.05,0.091,0.14,0,0,0,0.9,0.163,1.06,2.1,0.888,2.99,2.05,0.157,2.21,0.05,0.6,0.65,0,0.082,0.08,0,0,0,0,0.0003,0.0003,0,0.048,0.048,0,0.00022,0.00022,1.25,0.101,1.35,0.85,0.0603,0.91,0,0,0,0,0,0,0.404,0.04,0.445,1.03,0.145,1.17,0.053,0.0029,0.056,0.35,0.042,0.4,0.4,0.0381,0.43,0.8,0.083,0.88,0.228,0.062,0.29,0,0,0,0.008,0.008,0.016,0.008,0.008,0.016,0.73,0.255,0.99,0.003,0.0001,0.003,0.67,0.213,0.88,0.06,0.0419,0.1,0.73,0.255,0.99,0,0,0,0.0002,0.034,0.034,0,0,0,0.0021,0.0005,0.0026,0,0.056,0.056,0.48,0.029,0.5
France,48.13,23.8,1.77,25.6,3.26,0.017,3.28,0.0003,0.00007,0.0003,12.7,0.87,13.5,7.5,0.209,7.71,0.16,0.011,0.18,0.21,0.063,0.27,0,0,0,4.8,0.584,5.39,2.12,0.317,2.44,0.03,0.065,0.1,0.48,0.021,0.5,1.6,0.191,1.79,0.0007,0.0057,0.0064,0.0014,0.0007,0.0021,0.004,0.033,0.037,0,0.00002,0.00002,0.41,0.04,0.45,0,0,0,0.002,0,0.002,0.0252,0,0.0252,0.381,0.04,0.421,3.23,0.114,3.34,0.181,0.0227,0.204,1.36,0.021,1.38,0.67,0.0121,0.68,2.21,0.056,2.26,0.083,0.023,0.105,0.939,0.0354,0.975,0.035,0.057,0.091,0.035,0.057,0.091,1.6,0.225,1.83,0.305,0.0156,0.32,1.25,0.208,1.46,0.045,0.0017,0.05,1.6,0.225,1.82,0.0051,0,0,0,0.0411,0.0411,0.0154,0.0036,0.019,0.0666,0.002,0.0686,0,0.051,0.051,0.2,0.01,0.21
Germany,16.86,13.1,-,13.1,1.97,-,1.97,0,-,-,3.3,-,3.3,2.23,-,2.23,0.71,-,0.71,0.01,-,0.01,0.00003,-,0.00003,0.36,-,0.36,3.11,-,3.11,0.05,-,0.05,2.72,-,2.72,0.33,-,0.33,0,-,0,0.0035,-,0.0035,0.001,-,0.001,0,-,0,0.47,-,0.47,0.05,-,0.05,0,-,-,0.0094,-,0.0094,0.412,-,0.412,2.4,-,2.4,0.132,-,0.132,1.06,-,1.06,0.56,-,0.56,1.75,-,1.75,0.643,-,0.643,0,-,-,0.014,-,0.014,0.014,-,0.014,1.32,-,1.32,0.053,-,0.053,1.14,-,1.14,0.132,-,0.132,1.32,-,1.32,0,-,0,0.0024,-,0.0024,0.0117,-,0.0117,0,-,-,0,-,0,0.42,-,0.42
Greece,17.23,31.3,1.91,33.2,2.58,0.053,2.63,0.0001,0.00031,0.0004,9.8,0.55,10.3,4.59,0.051,4.65,0.04,0.035,0.07,0,0.006,0.01,0,0,0,5.15,0.461,5.61,7.53,0.513,8.04,0,0.001,0.001,7.35,0.311,7.66,0.11,0.093,0.2,0.0039,0.0125,0.0164,0.0001,0.0004,0.0004,0.053,0.096,0.149,0,0,0,0.41,0.023,0.43,0,0,0,0,0,0,0.0029,0.0008,0.0036,0.403,0.023,0.426,7.5,0.18,7.68,0.002,0.0008,0.003,6.06,0.101,6.16,1.09,0.0366,1.13,7.16,0.139,7.29,0.348,0.041,0.389,0,0,0,0.053,0.065,0.118,0.053,0.065,0.118,2.64,0.256,2.9,0.148,0.0004,0.148,1.91,0.203,2.12,0.581,0.052,0.63,2.64,0.256,2.9,0,0,0,0.0283,0.0867,0.115,0.0202,0.0372,0.0574,0.0197,0.0002,0.0199,0.049,0.091,0.14,0.6,0.001,0.61
